h3_index,resolution,area_km2
874025714ffffff,7,5.268979254827069
8740255b6ffffff,7,5.2325337723963035
874025458ffffff,7,5.26017115092866
8740242acffffff,7,5.218495075211558
8740254d1ffffff,7,5.245789924120175
8740254a0ffffff,7,5.2392305470565175
8740254e9ffffff,7,5.256538498548242
8740243abffffff,7,5.21866148103472
8740254d4ffffff,7,5.244141651570008
8740242eeffffff,7,5.229062725163418
8740242ebffffff,7,5.230773638742531
874025732ffffff,7,5.269064428747849
8740254f4ffffff,7,5.246128138033152
87402545dffffff,7,5.261985297123075
874024088ffffff,7,5.191778278667732
874024541ffffff,7,5.177344540335697
874024080ffffff,7,5.188187365501334
874024094ffffff,7,5.182766101321847
8740254a8ffffff,7,5.242645777596994
8740255a2ffffff,7,5.237862268323475
8740242a9ffffff,7,5.2202261281439135
874024082ffffff,7,5.186375161094873
8740254eaffffff,7,5.252988535759619
874024236ffffff,7,5.220440726997798
8740254d5ffffff,7,5.245878204395549
874024382ffffff,7,5.211480802214329
874024390ffffff,7,5.207885579774003
8740254c5ffffff,7,5.251255531840053
874025582ffffff,7,5.2359305736038255
8740240c3ffffff,7,5.200755322757013
87402454bffffff,7,5.179145402345229
874024381ffffff,7,5.215072775568418
87402408effffff,7,5.189978640280806
8740254f0ffffff,7,5.246047311552438
8740240f3ffffff,7,5.19718466315468
8740242e6ffffff,7,5.225578218274481
874024091ffffff,7,5.184561572878153
8740240d1ffffff,7,5.197150385038739
87402421bffffff,7,5.223809635021368
874024090ffffff,7,5.182757571342979
874025583ffffff,7,5.237683679330489
8740240c8ffffff,7,5.20433620801849
874024549ffffff,7,5.18095948719832
8740255b4ffffff,7,5.2343469246507555
87402409cffffff,7,5.186364181253457
8740242e8ffffff,7,5.230825611671008
8740254c1ffffff,7,5.2511683461855165
8740254c3ffffff,7,5.249346717998909
8740254a3ffffff,7,5.2391573420897695
8740242adffffff,7,5.220268060097262
874025489ffffff,7,5.242403572565018
8740240cbffffff,7,5.204312894457503
8740254aeffffff,7,5.240902317534402
8740254c0ffffff,7,5.249435098055382
8740254f2ffffff,7,5.2442261573696065
8740240caffffff,7,5.202524404357875
87402545cffffff,7,5.260254838589283
874024081ffffff,7,5.189989632880172
8740242aeffffff,7,5.216681209212709
8740240f2ffffff,7,5.1953880182598855
874025716ffffff,7,5.267167347641811
8740240f6ffffff,7,5.195400253483678
8740242c5ffffff,7,5.2272489140760605
8740254e8ffffff,7,5.2548072832568575
8740254edffffff,7,5.256624585203609
8740254ebffffff,7,5.254719999298958
8740255b0ffffff,7,5.234292415743422
8740242e9ffffff,7,5.232587012626683
874024396ffffff,7,5.206099954059922
8740242e2ffffff,7,5.225532509081601
8740242eaffffff,7,5.229012018172813
8740254dcffffff,7,5.247523654664349
8740254abffffff,7,5.242567524702126
87402438dffffff,7,5.218633129787044
87402558effffff,7,5.2394352818608985
8740254f6ffffff,7,5.244308179872221
874024232ffffff,7,5.220411126281434
87402408dffffff,7,5.1935899626509885
8740254aaffffff,7,5.240825349415143
8740240d4ffffff,7,5.19537333605555
87402409dffffff,7,5.188165393071751
8740242f4ffffff,7,5.221996391511236
87402454effffff,7,5.177342107446726
8740242a5ffffff,7,5.216757587261404
8740240c2ffffff,7,5.198962744966131
8740242f6ffffff,7,5.22018173021951
8740254f3ffffff,7,5.24596400027056
87402544effffff,7,5.263797985363718
8740242a8ffffff,7,5.21845439957978
8740254a4ffffff,7,5.239301272118304
874024389ffffff,7,5.218602313507557
8740255b5ffffff,7,5.236105344347445
8740240d9ffffff,7,5.20071120048005
8740254a9ffffff,7,5.244387718890364
874024395ffffff,7,5.209696809197128
8740242a1ffffff,7,5.2167206299045965
8740242f5ffffff,7,5.223765186285744
87402558affffff,7,5.2393695171032375
87402438bffffff,7,5.216792081184046
874025580ffffff,7,5.237745688248718
874024212ffffff,7,5.218533286137816
87402408cffffff,7,5.191790499723617
874024095ffffff,7,5.184571327085479
874025485ffffff,7,5.23908165738968
8740242abffffff,7,5.218411259335329
874025586ffffff,7,5.2359913084327685
874024386ffffff,7,5.211506629023192
8740242e0ffffff,7,5.227345327533705
874024543ffffff,7,5.175531348602487
8740240d5ffffff,7,5.197168748269169
87402438cffffff,7,5.216853678422194
8740240c9ffffff,7,5.20612450870371
8740240aaffffff,7,5.191800276606862
8740254a1ffffff,7,5.240976804611392
8740240ddffffff,7,5.200734487160721
8740254c2ffffff,7,5.247613227661267
874025599ffffff,7,5.237552224474835
87402559cffffff,7,5.235867361046148
87402545effffff,7,5.25844043814078
8740242c4ffffff,7,5.2254843298407065
874024394ffffff,7,5.207911376895381
8740242e3ffffff,7,5.227298356504245
87402548dffffff,7,5.242486789627574
8740255b1ffffff,7,5.236049565391777
8740255a6ffffff,7,5.2379168392055035
8740243aaffffff,7,5.216880781586188
87402544dffffff,7,5.267337600158814
874024216ffffff,7,5.218569032264543
8740254eeffffff,7,5.253074525540211
874024548ffffff,7,5.179151488106787
87402544cffffff,7,5.265609212173396
874024083ffffff,7,5.188177599958803
8740240dcffffff,7,5.198943146252184
874024380ffffff,7,5.213290424638617
8740240abffffff,7,5.193600967998468
874025449ffffff,7,5.267253724611259
